address1,address2,address3,city,country,county,email,endDate,externalLocationId,faxNumber,geocode,hours,latitude,locationId,longitude,name,phoneNumber,postalCode,relatedArticles,relatedMediaContent,siteGroups,sites,startDate,stateAddress,type,version,neighbourhood,colony
Juan Ignacio Ramón Ote,305,,Monterrey,MX,,,,,,,,25.671972,135,-100.323861,Sucursal 135 Distribuidores,1300503,64000,,,,,6/1/2015,Nuevo León,STORE,,Centro,
Juan Alvarez,602,,VILLAHERMOSA,MX,,,,,,,,17.997875,139,-92.918067,Sucursal 39 Villahermosa Dist,3121643,86000,,,,,7/7/2010,Tabasco,STORE,,Zona Centro,
Juan Ignacio Ramon Ote,305,,MONTERREY,MX,,,,,,,,25.671972,35,-100.323861,Sucursal 35 Monterrey,1300503,64000,,,,,3/11/2000,Nuevo León,STORE,,CENTRO,
CALLE 30,160 B,,MERIDA,MX,,,,,,,,20.993471,37,-89.636917,Sucursal 37 Mérida,9207489,97070,,,,,2/9/2002,Yucatán,STORE,,GARCIA GINERES,
JUAN ALVAREZ,602,,VILLAHERMOSA,MX,,,,,,,,17.997875,39,-92.918067,Sucursal 39 Villahermosa,3121643,86000,,,,,2/6/2003,Tabasco,STORE,,ZONA CENTRO,
INDUSTRIALES,111,,LEON,MX,,,,,,,,21.103225,41,-101.633988,Sucursal 41 León,7715730,37260,,,,,3/8/2004,Guanajuato,STORE,,JULIAN DE OBREGON,
AV. MANUEL L. BARRAGAN,220,,ESCOBEDO,MX,,,,,,,,25.746143,44,-100.310839,Sucursal 44 Escobedo,589130,66054,,,,,2/1/2005,Nuevo León,STORE,,COL. EXHACIENDA EL CANADA,
CARR.MTY-SALTILLO,,,SANTA CATARINA,MX,,,,,,,,25.675606,47,100.449976,Sucursal 47 Santa Catarina,592121,66350,,,,,2/17/2006,Nuevo León,STORE,,INDUSTRIAS DEL PONIENTE,
Av. 15 Norte,5401,,PUEBLA,MX,,,,,,,,19.070839,61,-98.195286,Sucursal 61 Puebla,2209217,72080,,,,,1/8/2010,Puebla,STORE,,Col. Santa Maria,
Carr. Miguel Alemán KM.18 Bq D. Loc,789,,Apodaca,MX,,,,,,,,25.763644,79,-100.190957,Sucursal 79 Impuls La Fe,900366,66600,,,,,1/17/2015,Nuevo León,STORE,,,
Israel Cavazos,SubAncla A,,Guadalupe,MX,,,,,,,,25.659462,96,-100.179987,Sucursal 96 Guadalupe,2306665,67190,,,,,1/11/2017,Nuevo León,STORE,,,
BLVD. AEROPUERTO,550,,LEON,MX,,sgutierrez@impuls.com.mx,,,,,,21.085299,200,-101.61555,Ecommerce,7110929,37530,,,,,,Guanajuato,STORE,,,
Abasolo,606,,Matamoros,MX,,tienda1@impuls.com.mx,,,(868) 812-16-99,,,25.881115,1,-97.505715,Sucursal 01 Matamoros,8164062,87300,,,,,1/1/2003,Tamaulipas,STORE,,Zona Centro,
Abasolo,805,,MATAMOROS,MX,,tienda2@impuls.com.mx,,,,,,25.880915,2,-97.506591,Sucursal 02 Matamoros,8124947,87300,,,,,1/1/2003,Tamaulipas,STORE,,Zona Centro,
Pedro Cardenas,100,,MATAMOROS,MX,,tienda3@impuls.com.mx,,,,,,25.851091,3,-97.504847,Sucursal 03 Matamoros,8173573,87390,,,,,1/1/2003,Tamaulipas,STORE,,Victoria,
Madero,510,,REYNOSA,MX,,tienda4@impuls.com.mx,,,,,,26.089176,4,-98.279604,Sucursal 04 Reynosa,9223253,88500,,,,,1/1/2003,Tamaulipas,STORE,,Reynosa Centro,
Carretera Reynosa Matamoros,S/N,,REYNOSA,MX,,tienda5@impuls.com.mx,,,,,,26.056475,5,-98.293149,Sucursal 05 Reynosa,9260344,88727,,,,,1/1/2003,Tamaulipas,STORE,,Antonio J. Bermudez,
Hidalgo,805,,REYNOSA,MX,,tienda6@impuls.com.mx,,,,,,26.091646,6,-98.27858,Sucursal 06 Reynosa,9221335,88500,,,,,1/1/2003,Tamaulipas,STORE,,Reynosa Centro,
Hidalgo,677,,REYNOSA,MX,,tienda7@impuls.com.mx,,,,,,26.090822,7,-98.278856,Sucursal 07 Reynosa,9223711,88500,,,,,1/1/2003,Tamaulipas,STORE,,Reynosa Centro,
Madero,709,,RIO BRAVO,MX,,tienda8@impuls.com.mx,,,,,,25.987449,8,-98.098899,Sucursal 08 Rio Bravo,9343357,88900,,,,,1/1/2003,Tamaulipas,STORE,,Rio Bravo Centro,
Av. Emilio Carranza,1301,,PIEDRAS NEGRAS,MX,,tienda9@impuls.com.mx,,,,,,28.697438,9,-100.52823,Sucursal 09 Piedras Negras,7824240,26000,,,,,1/1/2003,Coahuila,STORE,,Piedras Negras Centro,
Zaragoza,104,,PIEDRAS NEGRAS,MX,,tienda10@impuls.com.mx,,,,,,28.702795,10,-100.514436,Sucursal 10 Piedras Negras,7824098,26000,,,,,1/1/2003,Coahuila,STORE,,Piedras Negras Centro,
Hidalgo Sur,308,,MONCLOVA,MX,,tienda11@impuls.com.mx,,,,,,26.898618,11,-101.41702,Sucursal 11 Monclova,6333399,25700,,,,,1/1/2003,Coahuila,STORE,,Monclova Centro,
Guerrero,421,,NUEVO LAREDO,MX,,tienda12@impuls.com.mx,,,,,,27.495388,12,-99.507465,Sucursal 12 Nuevo Laredo,7124536,88000,,,,,1/1/2003,Tamaulipas,STORE,,Nuevo Laredo Centro,
Hidalgo,307,,MONCLOVA,MX,,tienda15@impuls.com.mx,,,,,,26.898881,15,-101.416914,Sucursal 15 Monclova,6325614,25700,,,,,1/1/2003,Coahuila,STORE,,Monclova Centro,
Santos Degollado,53,,IRAPUATO,MX,,tienda16@impuls.com.mx,,,,,,20.673438,16,-101.346369,Sucursal 16 Irapuato,6263866,36500,,,,,1/1/2003,Guanajuato,STORE,,Irapuato Centro,
Portal Corregidora,114,,CELAYA,MX,,tienda17@impuls.com.mx,,,,,,20.523173,17,-100.814294,Sucursal 17 Celaya,6120406,38000,,,,,1/1/2003,Guanajuato,STORE,,Celaya Centro,
Av. Lauro Villar,1132,,MATAMOROS,MX,,tienda18@impuls.com.mx,,,,,,25.863792,18,-97.479447,Sucursal 18 Matamoros,8143664,87448,,,,,1/1/2003,Tamaulipas,STORE,,Las arboledas,
Av. Canada, S/N,,SANTIAGO DE QUERETARO,MX,,tienda19@impuls.com.mx,,,,,,20.58732,19,-100.374173,Sucursal 19 Queretaro,2131693,76050,,,,,1/1/2003,Querétaro,STORE,,Carretas,
Madero,118,,LEON,MX,,tienda20@impuls.com.mx,,,,,,21.12185,20,-101.681298,Sucursal 20 León,7147417,37000,,,,,1/1/2003,Guanajuato,STORE,,Leon de los Aldama Centro,
Matamoros,142,,MONTERREY,MX,,tienda21@impuls.com.mx,,,,,,25.669375,21,-100.316453,Sucursal 21 Monterrey,3456287,64000,,,,,1/1/2003,Nuevo León,STORE,,Monterrey Centro,
Feliz Galvan,400,,SAN NICOLAS DE LOS GARZA,MX,,tienda22@impuls.com.mx,,,,,,25.71191,22,-100.261655,Sucursal 22 San Nicolas,3770673,66496,,,,,1/1/2003,Nuevo León,STORE,,Fidel Velazquez,
Av Santo Domingo,1800,,SAN NICOLAS DE LOS GARZA,MX,,tienda23@impuls.com.mx,,,,,,25.727937,23,-100.275871,Sucursal 23 San Nicolas,3821324,66437,,,,,1/1/2003,Nuevo León,STORE,,Villas de Santo Domingo,
